plants,operator,nrg_bal,siec,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CHP,PRR_AUTO,GEP,CF,GWH,PL	11680.980 	10263.000 	9206.000 	8729.000 	8802.000 	8365.000 	8235.000 	7881.000 	6845.000 	6673.000 	7612.000 	7903.000 	7820.000 	7901.000 	7996.000 	7808.000 	7714.000 	7201.000 	7203.000 	7485.000 	8006.000 	8131.000 	8361.000 	8432.000 	8525.000 	8150.000 	7852.000 	8099.000 
CHP,PRR_AUTO,GEP,CF,GWH,PT	6955.614 	6809.000 	6976.000 	7287.000 	7869.000 	7376.000 	7402.000 	6968.000 	5801.000 	5364.000 	5732.000 	5076.000 	4871.000 	4504.000 	4464.000 	4563.000 	4124.000 	4256.000 	4504.000 	3948.000 	3770.000 	3210.000 	3096.000 	2620.000 	2126.000 	1785.000 	1602.000 	1403.000 
CHP,PRR_AUTO,GEP,CF,GWH,RO	956.182 	967.000 	1467.000 	1561.000 	1749.000 	2223.000 	2133.000 	1957.000 	1764.000 	2442.000 	2122.000 	2035.000 	2185.000 	2134.000 	1718.000 	1607.000 	1355.000 	1313.000 	1178.000 	1044.000 	936.000 	1114.000 	1111.000 	1235.000 	1355.000 	1548.000 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,RS	526.346 	453.000 	318.000 	289.000 	202.000 	171.000 	146.000 	156.000 	14.000 	11.000 	101.000 	124.000 	188.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,CF,GWH,SE	6203.000 	5727.000 	5816.000 	5785.000 	5844.000 	6333.000 	6000.000 	6592.000 	5573.000 	6456.000 	5972.000 	5179.000 	4704.000 	4741.000 	4594.000 	4496.000 	3920.000 	3777.000 	3544.000 	3728.000 	4008.000 	4095.000 	3929.000 	3920.000 	3616.000 	3165.000 	2981.000 	2746.000 
CHP,PRR_AUTO,GEP,CF,GWH,SI	265.174 	265.000 	265.000 	267.000 	243.000 	246.000 	242.000 	286.000 	291.000 	269.000 	293.000 	308.000 	355.000 	362.000 	322.000 	320.000 	422.000 	450.000 	363.000 	353.000 	421.000 	365.000 	417.000 	369.000 	411.000 	466.000 	600.000 	1004.000 
CHP,PRR_AUTO,GEP,CF,GWH,SK	2415.000 	2355.000 	2396.000 	2145.000 	1703.000 	1941.000 	1947.000 	1862.000 	1936.000 	2617.000 	2600.000 	2656.000 	2325.000 	2191.000 	2284.000 	2303.000 	2293.000 	1570.000 	1359.000 	1251.000 	1802.000 	1585.000 	1661.000 	1344.000 	1590.000 	2492.000 	2361.000 	2583.000 
CHP,PRR_AUTO,GEP,CF,GWH,TR	5578.213 	5395.000 	4546.000 	4418.000 	3814.000 	3783.000 	3873.000 	4307.000 	4370.000 	5645.000 	6273.000 	5458.000 	5053.000 	4481.000 	5046.000 	5465.000 	5447.000 	5003.000 	11360.000 	9284.000 	7185.000 	5647.000 	5264.000 	4266.000 	3921.000 	3560.000 	3221.000 	3143.000 
CHP,PRR_AUTO,GEP,CF,GWH,UA	3621.900 	5415.000 	1504.000 	2561.000 	2804.000 	3314.000 	4929.000 	4380.000 	4259.000 	4929.000 	4338.000 	4720.000 	4801.000 	5167.000 	4848.000 	4440.000 	4588.000 	4547.000 	4565.000 	4584.000 	4721.000 	4853.000 	5146.000 	5382.000 	6098.000 	6698.000 	7392.000 	7927.000 
CHP,PRR_AUTO,GEP,CF,GWH,UK	20940.384 	20128.582 	19139.401 	18941.000 	18789.000 	21781.000 	21800.000 	25295.000 	24929.000 	26013.000 	26286.000 	27213.000 	27202.000 	25952.000 	24613.000 	24421.000 	22445.000 	26764.000 	20236.000 	18685.000 	16763.000 	15964.000 	14473.000 	12665.000 	12277.000 	12495.000 	10997.000 	9846.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,AT	4572.468 	4540.796 	4158.736 	4005.282 	4453.076 	4689.729 	5125.643 	4840.450 	4119.446 	4427.100 	4421.132 	4241.293 	3841.806 	3682.000 	4124.000 	4632.000 	3935.000 	3137.000 	2794.000 	2542.000 	2722.000 	2396.000 	3699.000 	3618.000 	3311.000 	4037.000 	3888.000 	3025.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,BE	7875.100 	7140.000 	6789.000 	6682.000 	6223.000 	5999.000 	5435.000 	4559.000 	3512.000 	2585.000 	1768.000 	1443.000 	1521.000 	1408.000 	1226.000 	1188.000 	1329.000 	1421.000 	85.000 	98.000 	96.000 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,BG	530.261 	399.000 	360.000 	233.000 	267.000 	270.000 	147.000 	242.000 	204.000 	847.000 	1790.000 	1580.000 	1481.000 	1525.000 	1937.000 	1425.000 	1711.000 	1845.000 	2130.000 	2226.000 	2263.000 	2820.000 	2824.000 	2917.000 	3122.000 	3708.000 	2995.000 	3882.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,CY	40.524 	38.000 	37.000 	38.000 	45.000 	49.000 	50.000 	66.000 	69.000 	65.000 	65.000 	32.000 	28.000 	24.000 	8.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,CZ	8473.643 	8809.000 	8619.000 	8502.000 	8006.000 	7386.000 	7316.000 	7593.000 	7708.000 	8398.000 	7972.000 	8926.000 	8889.000 	8615.000 	8299.000 	8206.000 	8642.000 	9190.000 	6487.000 	6567.000 	6506.000 	6415.000 	5635.000 	5706.000 	6147.000 	6396.000 	6426.000 	6627.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,DE	39500.000 	37615.000 	35227.000 	31716.000 	30925.000 	30277.000 	30330.000 	31813.000 	28371.000 	27553.000 	27459.000 	27788.000 	27601.000 	24755.000 	25361.000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CHP,PRR_AUTO,GEP,TOTAL,GWH,DK	2088.154 	2030.105 	2181.918 	2006.000 	1909.000 	1940.000 	2144.000 	2277.000 	2096.000 	2293.000 	2357.000 	2584.000 	2874.000 	2736.000 	2763.000 	2666.000 	2656.000 	2826.000 	2699.000 	2234.000 	1919.000 	1703.000 	1232.000 	984.000 	804.000 	743.000 	630.000 	581.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,EA19	156780.336 	147977.708 	146248.001 	135565.966 	143914.098 	143197.854 	149214.891 	143130.939 	132641.962 	137251.571 	134848.932 	130530.872 	134014.617 	127256.598 	122480.871 	79986.809 	74289.399 	70527.549 	113559.000 	103081.000 	95032.000 	76959.000 	70506.000 	66318.000 	57514.000 	55485.000 	50852.000 	49179.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,EE	53.316 	54.000 	32.000 	42.000 	70.000 	77.000 	88.000 	89.000 	74.000 	95.000 	128.000 	111.000 	115.000 	132.000 	150.000 	171.000 	123.000 	106.000 	67.000 	96.000 	117.000 	171.000 	161.000 	127.000 	39.000 	70.000 	136.000 	154.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,EL	1909.845 	1946.000 	2339.000 	1792.000 	1884.000 	2349.000 	2553.000 	2492.000 	1958.000 	1311.000 	898.000 	1003.000 	1062.000 	985.000 	1028.000 	1032.000 	913.000 	1014.000 	925.000 	908.000 	969.000 	896.000 	874.000 	819.000 	845.000 	927.000 	934.000 	875.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,ES	32058.000 	29864.000 	29517.000 	27927.000 	33999.000 	32379.000 	31293.000 	29214.000 	31873.000 	31947.000 	31380.000 	32058.000 	38701.000 	36465.000 	31659.000 	31541.000 	28226.000 	26145.000 	27854.000 	22241.000 	19134.000 	13100.000 	9204.000 	7348.000 	3876.000 	3300.000 	2663.000 	2886.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,EU28	208913.931 	197332.395 	194021.320 	182314.966 	190237.098 	192412.854 	198216.891 	195913.939 	182547.962 	191280.571 	190055.932 	187100.872 	190388.617 	182071.598 	175356.871 	131548.809 	123690.399 	124488.549 	158003.000 	146049.000 	136752.000 	118460.000 	109290.000 	103346.000 	94663.000 	92955.000 	84045.000 	82405.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,FI	8117.000 	7826.000 	8226.000 	8573.000 	8247.000 	8115.000 	8796.000 	9257.000 	8239.000 	9797.000 	10166.000 	10112.000 	9075.000 	10011.000 	9638.000 	9719.000 	9459.000 	9960.000 	11962.000 	12686.000 	11601.000 	10261.000 	10137.000 	10111.000 	9265.000 	8228.000 	7405.000 	7812.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,FR	9466.652 	8975.015 	8945.989 	8113.932 	8136.424 	8391.333 	8699.870 	5417.000 	5925.000 	11908.000 	13081.000 	12706.000 	13509.000 	13564.000 	13055.000 	12288.000 	11344.000 	10157.000 	2309.000 	2442.000 	2541.000 	2181.000 	2059.000 	1344.000 	1179.000 	1336.000 	1324.000 	1156.000 
CHP,PRR_AUTO,GEP,TOTAL,GWH,HR	414.200 	331.000 	310.000 	338.000 	327.000 	383.000 	512.000 	447.000 	400.000 	460.000 	513.000 	476.000 	506.000 	535.000 	580.000 	532.000 	490.000 	551.000 	529.000 	492.000 	479.000 	545.000 	578.000 	510.000 	531.000 	463.000 	481.000 	593.000 
